.;plage achakar;axakar.jpg;.;"Proche de Tanger 20 Km maxi, se trouve l'une des plus jolies plages. Nommee plage d'Achakar .
Avec de vastes etendues de sables qui sont a la disposition des baigneurs.
La mer mediterranees etend sur trois kilometres de plage de sable fin qui se deroule face aux vagues de l?Atlantique.
Cette plage presente l?avantage d?etre tres propre et agreable … frequenter";.;10
.;plage ba kacem;principal.jpg;.;Sidi Kacem est une ville de taille moyenne du Nord-Ouest du Maroc et capitale de la province du meme nom. Ses habitants, les Kacemis, sont au nombre de 90 000 (d'apres recensement de 2015).  elle est situ‚e a l'endroit ou la riviere Rdoom quitte les hauteurs du plateau de Meknes pour s'engager dans la grande et fertile plaine du Gharb (Gharb signifie en arabe l'Ouest, par rapport a Fes, ancienne capitale du royaume).;.;10
.;plage merkala;merkala.jpg;.;La corniche de Merkala a Tanger est devenue un lieu de detente par excellence tres prise par les habitants et les visiteurs de la ville du Detroit durant le mois de Ramadan, qui leur sert d?exutoire pour evacuer le stress quotidien et pratiquer leurs activites sportives preferees.;.;10
.;plage mrisat;mrisat.jpg;.;La peste Sarm est a la 32eme place sur 67 plages de la region de Tanger-Tetouan-Al Hoceima a 5,4 km de son centre, la ville de Tanger. C'est l'une des plages de la colonie de Nouinouich, a seulemet 1,9 km de son centre. La plage est situee dans une zone urbaine, parmi les montagnes;.;10
.;plage municipal;municipal1.jpg;.;La Plage Municipale de Tanger a recemment fait l'objet d'une renovation de ses equipements nautiques et d'animations pour le plus grand bonheur des familles et des visiteurs de la ville. La Mer y est calme et chaude, avec de vastes edendues de sables pour profiter au maximum du soleil. Des clubs enfants et des clubs d'activites nautiques comme le jet-ski, sont disponibles sur la plage. Elle est situee non loin du vieux port de Tanger. ;.;10
.;playa blanca;blanca.jpg;.;Playa Blanca est une petite plage naturelle, situee sur la cote d'une magnifique baie. C'est l'une des plus belles plages de Tanger. Les visiteurs sont attir‚s par le sable fin et dore et la mer limpide, la possibilite de nager, de bronzer, de monter a dos de chameau, de se promener le long de la mer.;.;10
.;;;;;;
.;;;;;;
.;cap spartel;7.jpg;.;"Le cap Spartel ou Ras Spartel est un promontoire de la cote du Maroc, situe a l'entr‚e sud du detroit de Gibraltar, a 14 kilometres … l'ouest de Tanger. Face au cap Spartel, a 44 km au nord, le cap Trafalgar marque l'entree nord du detroit, sur la cote espagnole.
Le cap Spartel est souvent indique par erreur comme le point le plus au nord de l'Afrique.";.;11
.;foret diplomatique;1.jpeg;.;Les preparatifs de la premiere edition de la Course de la foret diplomatique de Tanger (10 km) reprennent de plus belle. Les organisateurs ont choisi dimanche 13 mars pour la tenue de cette premiere edition.;.;11
.;jardins de villa harris;2.jpg;.;a la fin du XIXe siecle, un journaliste britannique, Walter Burton Harris, s?installa … Tanger. Il construit une maison de style hispano-mauresque sur un domaine de plusieurs hectares dans la region de Malabata. Ruines, les Britanniques cŠdent sa propriete a un certain Onofre Zapata qui transformera Villa Harris en un casino-parc. L?occupation espagnole de 1940 mit fin a cet espace de loisirs. Dans les annees 70, le domaine sera achete par le groupe hotelier Club Med qui occupera les lieux jusqu?en 2000. Restes pendant de nombreuses annees, les jardins de la Villa Harris sont a nouveau accessibles pour la plus grande satisfaction des promeneurs.;.;11
.;le jardin de la mendoubia;5.jpg;.;"Le Jardin de la Mendoubia tient son nom du batiment qu'il entoure et qui n'est autre que le tribunal de commerce.
Le visiteur sera fascine entre autres par l?architecture des lieux et par l?enormite d?un arbre centenaire se situant … l?entree de la Mandoubia.
D?auitres arbres ont par ailleurs contribue a renforcer la verdure des fameux jardins de la Mandoubia.
La Mandoubia a ete cree pour abriter les bureaux et la residence du Mendoub, representant permanent du Sultan … l?epoque ou Tanger etait une zone internationale.
Des pavillons de ce prestigieux batiment ont servi, en mars 1941, comme siege au consulat allemand.";.;11
.;parc perdicaris;rmilat.jpg;.;"La foret de Perdicaris, plus connue sous le nom de foret de Rmilat, est un veritable parc botanique contenant des centaines d?especes, et offre une vue imprenable sur le Detroit de Gibraltar.
Un lieu ideal … Tanger pour se ressourcer, passer des moments en famille, pique-niquer, se promener ou encore faire du sport.
Il possede toutes les installations necessaires au confort de ses visiteurs et offre des possibilites d'observer plusieurs especes d'oiseaux.";.;11
.;;;.;;.;
.;;;.;;.;
.;;;.;;.;
.;bab bhar;9.jpg;.;"L'avis du Petit Fute sur  Bab Bhar Tanger 
D'ici, la vue sur la mer est sans pareille. Bab Bahr signifie d'ailleurs  porte de la mer . C'est une des plus celebres portes de Tanger. On y decouvre une vue imprenable sur toute la baie, le port et le debut de la medina.  Situee a deux pas des escaliers qui menent vers la Legation americaine, anciennement le consulat des Etats-Unis au Maroc, la porte fut construite par les Portugais entre le XIVe siecle et le XVIIe siecle. Elle donne sur les anciennes tanneries, offertes … la ville lors de sa reconstruction par le Pacha Ali, au XVIIe siecle, dont il ne reste aujourd'hui que des ruines.";.;12
.;dar baroud;dar baroud1.jpeg;.;Borj Dar El Baroud etait la fortification militaire la plus importante entourant Tanger. Situe a l?angle Nord-est de l?ancienne medina de la ville, le Borj contenait des magasins de munitions et de canons de differentes tailles, en plus de diverses fortifications s?etalant sur trois niveaux, ainsi qu?un sous-sol a usage militaire.;.;12
.;hafa;3.jpg;.;Cafe Hafa est un cafe a Tanger, au Maroc, situe le long de la falaise surplombant la baie de Tanger. Ouvert en 1921, le cafe a conserve son style des annees 1920 de la decoration et au fil des ans a ete visite par de nombreux ecrivains et chanteurs, de Paul Bowles et William S. Burroughs, les Beatles et les Rolling Stones. Le cafe est connue pour son the a la menthe, un breuvage special Tanger;.;12
.;hanafta;hanafta2.jpg;.;Le cafe Hanafta devrait continuer d?abriter des soirees de musique andalouse les fins de semaine.;.;12
.;kasbah;kasbah1.jpg;.;La Kasbah de Tanger represente l?un des plus importants attraits de Tanger, ville maritime du Maroc situee sur la pointe nord du pays, face au detroit de Gibraltar, separant l?ocean Atlantique de la mer Mediterranee. Avec des remparts datant du 13eme siecle, la Kasbah a ete construite sur les plus hauts terrains de la ville de Tanger, au-dessus de la medina.;.;12
.;place de grande 9;place de grande2.jpg;.;"Le Grand Socco ou Place du 9 avril 1947 est un rond-point circulaire historique separant l'ancienne Medina du nouveau quartier du centre-ville de Tanger, au Maroc.
Le terme, socco est une corruption espagnole du souk arabe (ou souk). Le Grand Socco est entoure d'une mosquee, de quelques boutiques, de plusieurs banques, d'une demi-douzaine de restaurants modestes avec des terrasses couvertes, de plusieurs cafes, du Cinema Rif, d'un bureau Amendis et d'une pharmacie. D'un cote se trouve l'arche d'entree des jardins de la Mendoubia et une autre arche mene a la rue de la Kasbah, egalement connue sous le nom de rue d'Italie.";.;12
.;;;.;;.;
.;;;.;;.;
.;grottes d'hercule;grottes4.jpg;.;Il s'agit des Grottes d'Hercule, situees a seulement 14 kilometres … l'ouest du centre de Tanger. Les grottes d'Hercule sont un lieu touristique bien connu depuis les annees 1920. Il s'agit de grottes naturelles calcaires ouvertes sur la mer, dans lesquelles cette derniere penetre a maree haute.;.;13
.;Musee de la kasbah - Espace d'art contemorain;Musee de la kasbah7.jpeg;.;Situe dans l?enceinte de l?ancienne prison de la Kasbah, ce musee sera un lieu vivant de rencontres, d?echanges et de partages et presentera une programmation culturelle et des expositions liees a la region du nord.;.;13
.;Borj En-Naam;Borj En-Naam1.jpg;.;Ibn Batouta dispose enfin d?un centre a sa memoire. Situe a Borj Naam, dans la Kasbah de Tanger, le projet est pilote par la Societe d?amenagement du port de Tanger-Ville, SAPT. Il a pour objectif de presenter les grandes etapes des voyages et de la vie d?Ibn Batouta qui avait cumule plus de 120.000 km de voyages en une trentaine d?annees au milieu du 14e siecle. Il s?agit aussi de restaurer l?un des batiments historiques de Tanger, Borj Naam, autrefois connu comme Borj Dahman. Ce fort assurant la defense de la ville est connu pour avoir accueilli une paire d?autruches du Pacha au 19 siecle, d?ou son nom.;.;13
;;;;;;
